Title,ISBN,Goodreads Book ID
Summer Story ,9780689830594.0,722960.Felicity_Saves_the_Day?from_search=true&from_srp=true&qid=KBZqAckm7h&rank=1.summer-story
The Lake of Darkness,9780375704970.0,83394.The_Lake_of_Darkness?from_search=true&from_srp=true&qid=5UTHqrY6tO&rank=1.the-lake-of-darkness
Beyond the Blue Event Horizon ,9780345446671.0,373399.Beyond_the_Blue_Event_Horizon?from_search=true&from_srp=true&qid=ryORADQNZM&rank=1.beyond-the-blue-event-horizon
St. Peter's Fair ,9780446403016.0,751755.St_Peter_s_Fair?from_search=true&from_srp=true&qid=JaS1sOv5Vc&rank=1.st-peters-fair
Twice Shy,9780593085530.0,54660653.twice-shy
The Door in the Hedge,9780698119604.0,8091.The_Door_in_the_Hedge?from_search=true&from_srp=true&qid=WfIxnrD40w&rank=1.the-door-in-the-hedge
"Moo, Baa, La La La!",9780689861130.0,4600.Moo_Baa_La_La_La_?from_search=true&from_srp=true&qid=gbzFDHXetl&rank=1.moo-baa-la-la-la
Pawn of Prophecy ,9780345468642.0,44659.Pawn_of_Prophecy?from_search=true&from_srp=true&qid=EPFzIZmDlH&rank=1.pawn-of-prophecy
Pacific Vortex! ,9780553276329.0,361081.Pacific_Vortex_?from_search=true&from_srp=true&qid=xoeucNo3Y3&rank=1.pacific-vortex
The One Minute Manager,9780061178801.0,763362.The_One_Minute_Manager?from_search=true&from_srp=true&qid=eh0h4khbHI&rank=1.the-one-minute-manager
Christine,9782253147695.0,10629.Christine?from_search=true&from_srp=true&qid=TqJX48em1Q&rank=1.christine
Proof,9780571199976.0,42149.Baby_Proof?from_search=true&from_srp=true&qid=qreQLl6x16&rank=1.proof
Dragons of Autumn Twilight  ,9780786915743.0,259836.Dragons_of_Autumn_Twilight?from_search=true&from_srp=true&qid=ikuyN9HL5u&rank=1.dragons-of-autumn-twilight
The Bone People,9780330293877.0,460635.The_Bone_People?from_search=true&from_srp=true&qid=QZsW7HmIYj&rank=1.the-bone-people
Books of Blood: Volumes One to Three ,9780425165584.0,32626.Books_of_Blood?from_search=true&from_srp=true&qid=AKkDvW1A6J&rank=1.books-of-blood-volumes-one-to-three
The Black Company ,,140671.The_Black_Company?from_search=true&from_srp=true&qid=fHSvOXNe0n&rank=1.the-black-company
Shallows,9781555971939.0,9778945.shallows
A New History of Korea,9780674615762.0,55958.A_New_History_of_Korea?from_search=true&from_srp=true&qid=wGuIFS8X31&rank=1.a-new-history-of-korea
"Maison Ikkoku, Volume 6 ",9781591164227.0,23708.Maison_Ikkoku_Volume_6?from_search=true&from_srp=true&qid=bqEtIaJ6Zf&rank=1.maison-ikkoku-volume-6
"The Little Mouse, the Red Ripe Strawberry, and the Big Hungry Bear",9780859536592.0,682920.The_Little_Mouse_the_Red_Ripe_Strawberry_and_the_Big_Hungry_Bear?from_search=true&from_srp=true&qid=QwsGPR7id7&rank=1.the-little-mouse-the-red-ripe-strawberry-and-the-big-hungry-bear
Sweet Starfire ,9780446365321.0,1723927.Sweet_Starfire?from_search=true&from_srp=true&qid=SQT9KhhJXY&rank=1.sweet-starfire
The Complete Maus,9780141014081.0,15195.The_Complete_Maus?from_search=true&from_srp=true&qid=qzIqqTmDJw&rank=1.the-complete-maus
Hot Money,9780449212400.0,200033796.hot-money
Gallows View ,9780380714001.0,102139.Gallows_View?from_search=true&from_srp=true&qid=kUUzism9BY&rank=1.gallows-view
Something Under the Bed is Drooling ,,77729.Something_Under_the_Bed_Is_Drooling?from_search=true&from_srp=true&qid=p7TXuOBs4m&rank=1.something-under-the-bed-is-drooling
"The Last Lion: Winston Spencer Churchill: Alone, 1932-40",9780385313315.0,55751.The_Last_Lion?from_search=true&from_srp=true&qid=CoG42Qq6n0&rank=1.the-last-lion-winston-spencer-churchill-alone-1932-40
From Beirut to Jerusalem,9780385413725.0,3559.From_Beirut_to_Jerusalem?from_search=true&from_srp=true&qid=xYLxtzfqfv&rank=1.from-beirut-to-jerusalem
Wayside School Is Falling Down ,9780380731503.0,10065.Wayside_School_Is_Falling_Down?from_search=true&from_srp=true&qid=fpzf0xm3J5&rank=1.wayside-school-is-falling-down
Rules of Prey ,9780425205815.0,37301.Rules_of_Prey?from_search=true&from_srp=true&qid=dVVHxXFTpG&rank=1.rules-of-prey
Jingo ,9780552154161.0,47990.Jingo?from_search=true&from_srp=true&qid=1l2TkaADT6&rank=1.jingo
Curses! ,9780445408647.0,561456.The_Titan_s_Curse?from_search=true&from_srp=true&qid=Ux9VLt4uOX&rank=1.curses
Morning Glory,9780586210413.0,123852869.morning-glory
The Vor Game ,9780671720148.0,68483.The_Vor_Game?from_search=true&from_srp=true&qid=XRkpIrebX3&rank=1.the-vor-game
Rabbit at Rest ,9780449911945.0,11666.Rabbit_at_Rest?from_search=true&from_srp=true&qid=1PadmBpR3B&rank=1.rabbit-at-rest
